
mAP,recall,F1
0.717,0.717,0.770

class_names ,person,escalator,escalator_handrails,person_dummy,escalator_model,escalator_handrails_model,
count       ,368,0,0,0,200,382,
AP          ,0.995,0,0,0,0.205,0.950,
F1          ,0.996,0,0,0,0.340,0.974,
Prediction  ,0.997,0,0,0,1.000,1.000,
recall      ,0.995,0,0,0,0.205,0.950,
score       ,0.468,0,0,0,0.294,0.278,
