
mAP,recall,F1
0.679,0.679,0.749

class_names ,person,escalator,escalator_handrails,person_dummy,escalator_model,escalator_handrails_model,
count       ,368,0,0,0,200,382,
AP          ,0.992,0,0,0,0.200,0.846,
F1          ,0.996,0,0,0,0.333,0.916,
Prediction  ,1.000,0,0,0,1.000,1.000,
recall      ,0.992,0,0,0,0.200,0.846,
score       ,0.984,0,0,0,0.657,0.500,
