
mAP,recall,F1
0.292,0.296,0.368

class_names ,person,escalator,escalator_handrails,person_dummy,escalator_model,escalator_handrails_model,
count       ,452,0,0,3,164,324,
AP          ,0.748,0,0,0.000,0.037,0.386,
F1          ,0.844,0,0,0.000,0.071,0.557,
Prediction  ,0.948,0,0,0.000,1.000,1.000,
recall      ,0.761,0,0,0.000,0.037,0.386,
score       ,0.501,0,0,0.000,0.992,0.501,
