
mAP,recall,F1
0.661,0.661,0.700

class_names ,person,escalator,escalator_handrails,person_dummy,escalator_model,escalator_handrails_model,
count       ,968,0,0,0,500,982,
AP          ,0.998,0,0,0,0.082,0.904,
F1          ,0.998,0,0,0,0.152,0.950,
Prediction  ,0.999,0,0,0,1.000,1.000,
recall      ,0.998,0,0,0,0.082,0.904,
score       ,0.468,0,0,0,0.294,0.251,
