
mAP,recall,F1
0.595,0.602,0.660

class_names ,person,escalator,escalator_handrails,person_dummy,escalator_model,escalator_handrails_model,
count       ,219,0,0,1,77,154,
AP          ,0.817,0,0,1.000,0.013,0.551,
F1          ,0.881,0,0,1.000,0.049,0.708,
Prediction  ,0.938,0,0,1.000,0.500,0.988,
recall      ,0.831,0,0,1.000,0.026,0.552,
score       ,0.351,0,0,0.610,0.311,0.255,
