
mAP,recall,F1,Prediction
0.888,0.885,0.909,0.934

class_names ,person,escalator,escalator_handrails,person_dummy,escalator_model,escalator_handrails_model,
count       ,31181,0,0,0,0,0,
AP          ,0.888,0,0,0,0,0,
F1          ,0.909,0,0,0,0,0,
Prediction  ,0.934,0,0,0,0,0,
recall      ,0.885,0,0,0,0,0,
score       ,0.591,0,0,0,0,0,
TP          ,27593,0,0,0,0,0,
FP          ,1953,0,0,0,0,0,
FN          ,3588,0,0,0,0,0,
