
mAP,recall,F1,Prediction
0.251,0.251,0.313,0.486

class_names ,person,escalator,escalator_handrails,person_dummy,escalator_model,escalator_handrails_model,
count       ,23,0,0,1,9,15,
AP          ,0.737,0,0,0.000,0.000,0.267,
F1          ,0.829,0,0,0.000,0.000,0.421,
Prediction  ,0.944,0,0,0.000,0.000,1.000,
recall      ,0.739,0,0,0.000,0.000,0.267,
score       ,0.599,0,0,0.000,0.000,0.501,
TP          ,17,0,0,0,0,4,
FP          ,1,0,0,0,0,0,
FN          ,6,0,0,1,9,11,
