
mAP,recall,F1,Prediction
0.293,0.308,0.289,0.272

class_names ,person,person_dummy,person_model,escalator_handrails,escalator,,
count       ,989,17,22,0,0,0,
AP          ,0.878,0.000,0.000,0,0,0,
F1          ,0.867,0.000,0.000,0,0,0,
Prediction  ,0.817,0.000,0.000,0,0,0,
recall      ,0.923,0.000,0.000,0,0,0,
score       ,0.266,0.000,0.000,0,0,0,
