
mAP,recall,F1,Prediction
0.170,0.202,0.236,0.286

class_names ,person,escalator,escalator_handrails,person_dummy,escalator_model,escalator_handrails_model,
count       ,22363,36,93,240,0,0,
AP          ,0.624,0.000,0.054,0.000,0,0,
F1          ,0.747,0.000,0.199,0.000,0,0,
Prediction  ,0.884,0.000,0.259,0.000,0,0,
recall      ,0.646,0.000,0.161,0.000,0,0,
score       ,0.500,0.000,0.559,0.000,0,0,
TP          ,14455,0,15,0,0,0,
FP          ,1894,0,43,0,0,0,
FN          ,7908,36,78,240,0,0,
