
mAP,recall,F1,Prediction
0.717,0.726,0.809,0.934

class_names ,person,escalator,escalator_handrails,person_dummy,escalator_model,escalator_handrails_model,
count       ,524,0,0,11,0,0,
AP          ,0.798,0,0,0.636,0,0,
F1          ,0.841,0,0,0.778,0,0,
Prediction  ,0.868,0,0,1.000,0,0,
recall      ,0.815,0,0,0.636,0,0,
score       ,0.503,0,0,0.525,0,0,
TP          ,427,0,0,7,0,0,
FP          ,65,0,0,0,0,0,
FN          ,97,0,0,4,0,0,
