
mAP,recall,F1,Prediction
0.297,0.304,0.360,0.441

class_names ,person,escalator,escalator_handrails,person_dummy,escalator_model,escalator_handrails_model,
count       ,524,0,0,11,0,0,
AP          ,0.594,0,0,0.000,0,0,
F1          ,0.720,0,0,0.000,0,0,
Prediction  ,0.881,0,0,0.000,0,0,
recall      ,0.609,0,0,0.000,0,0,
score       ,0.502,0,0,0.000,0,0,
TP          ,319,0,0,0,0,0,
FP          ,43,0,0,0,0,0,
FN          ,205,0,0,11,0,0,
