
mAP,recall,F1,Prediction
0.011,0.100,0.097,0.095

class_names ,person,escalator,escalator_handrails,person_dummy,escalator_model,escalator_handrails_model,
count       ,760,0,0,0,0,0,
AP          ,0.011,0,0,0,0,0,
F1          ,0.097,0,0,0,0,0,
Prediction  ,0.095,0,0,0,0,0,
recall      ,0.100,0,0,0,0,0,
score       ,0.552,0,0,0,0,0,
TP          ,76,0,0,0,0,0,
FP          ,723,0,0,0,0,0,
FN          ,684,0,0,0,0,0,
