
mAP,recall,F1,Prediction
0.349,0.315,0.379,0.874

class_names ,person,escalator,escalator_handrails,person_dummy,escalator_model,escalator_handrails_model,
count       ,989,0,0,17,0,0,
AP          ,0.640,0,0,0.059,0,0,
F1          ,0.647,0,0,0.111,0,0,
Prediction  ,0.747,0,0,1.000,0,0,
recall      ,0.570,0,0,0.059,0,0,
score       ,0.801,0,0,0.744,0,0,
TP          ,564,0,0,1,0,0,
FP          ,191,0,0,0,0,0,
FN          ,425,0,0,16,0,0,
